Mes del Gasto,COSTOS FIJOS / OTROS GASTOS,Comentario / Proveedor,LOCAL - ADM CENTRAL,Importe,Check %, %, MORENO,%,VIA VIEJA,%,COLEGIO,%,GG2,%,GG4, MONTO PAGO,FECHA PAGO,FORMA PAGO,Saldo a Pagar,Linea P&L
Marzo,Emergencias,cgyl,GG4," $  31.240,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,"100,00%"," $  31.240,0 "," $  37.800,0 ",27/2/2026,Transferencia,"-$  6.560,0 ","Servicios, Seguros & Tasas"
Marzo,CleanCity,,GG4," $  317.774,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  317.774,0 "," $  384.506,0 ",4/3/2026,Transferencia,"-$  66.732,0 ","Servicios, Seguros & Tasas"
Marzo,Alquiler Locales,,GG2," $  1.055.050,1 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  1.055.050,1 ",, $  -   ," $  1.055.050,1 ",6/3/2026,MP," $  0,0 ",Alquileres & Expensas
Marzo,Alquiler Locales,,GG4," $  1.803.600,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  1.803.600,0 "," $  1.803.600,0 ",9/3/2026,MP, $  -   ,Alquileres & Expensas
Marzo,Alquiler Locales,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,Alquileres & Expensas
Marzo,Expensas Locales,,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,, $  -   ,Alquileres & Expensas
Marzo,TGI,,MORENO,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  255.000,0 ",5/3/2026,Transferencia,"-$  255.000,0 ","Servicios, Seguros & Tasas"
Marzo,Gastos Mantenimiento Locales ,electricista,GG4," $  520.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  520.000,0 "," $  520.000,0 ",5/3/2026,MP, $  -   ,Mantenimiento
Marzo,DreI - Habilitaciones - Multas,control urbano,GG4," $  194.640,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  194.640,0 "," $  194.640,0 ",4/3/2026,MP,"-$  0,0 ","Servicios, Seguros & Tasas"
Marzo,Impresiones graficas ,,VIA VIEJA," $  79.200,0 ",0%,, $  -   ,100%," $  79.200,0 ",, $  -   ,, $  -   ,, $  -   ," $  79.200,0 ",4/3/2026,MP, $  -   ,Artículos de librería / Impresiones
Marzo,Eventos,artistica,VIA VIEJA," $  216.250,0 ",0%,, $  -   ,100%," $  216.250,0 ",, $  -   ,, $  -   ,, $  -   ," $  216.250,0 ",2/3/2026,Transferencia, $  -   ,Eventos
Marzo,Eventos,artistica,VIA VIEJA," $  248.750,0 ",0%,, $  -   ,100%," $  248.750,0 ",, $  -   ,, $  -   ,, $  -   ," $  248.750,0 ",9/3/2026,Transferencia, $  -   ,Eventos
Marzo,Servicios de Limpieza,debo,GG2," $  192.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  192.000,0 ",, $  -   ," $  192.000,0 ",8/3/2026,MP, $  -   ,"Limpieza, Descartables y Bazar"
Marzo,Honorarios Contador,,ADM Central," $  270.000,0 ",0%,40%," $  108.000,0 ",30%," $  81.000,0 ",20%," $  54.000,0 ",5%," $  13.500,0 ",5%," $  13.500,0 "," $  270.000,0 ",10/3/2026,EF ADM, $  -   ,Costos Centrales Pool
Marzo,Alquiler Oficina Adm.,,ADM Central," $  350.000,0 ",0%,40%," $  140.000,0 ",30%," $  105.000,0 ",20%," $  70.000,0 ",5%," $  17.500,0 ",5%," $  17.500,0 "," $  350.000,0 ",10/3/2026,EF ADM, $  -   ,Gastos Centrales
Marzo,Servicios Jardinería,,COLEGIO," $  170.000,0 ",0%,, $  -   ,, $  -   ,100%," $  170.000,0 ",, $  -   ,, $  -   ," $  170.000,0 ",10/3/2026,Transferencia, $  -   ,Mantenimiento
Marzo,TGI,deuda,MORENO,,0%,100%, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  251.000,0 ",11/3/2026,Transferencia,"-$  251.000,0 ","Servicios, Seguros & Tasas"
Marzo,Sueldos,vacaciones micaela altuna,MORENO," $  220.000,0 ",0%,100%," $  220.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  220.000,0 ",11/3/2026,EF ADM, $  -   ,"Jornales, Semanales y Mensualizados por HORA"
Marzo,Community Manager,redes,VIA VIEJA," $  45.000,0 ",0%,, $  -   ,100%," $  45.000,0 ",, $  -   ,, $  -   ,, $  -   ," $  45.000,0 ",12/3/2026,MP, $  -   ,Costos Centrales Pool
Marzo,Community Manager,redes,MORENO," $  213.000,0 ",0%,100%," $  213.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  213.000,0 ",12/3/2026,MP, $  -   ,Costos Centrales Pool
Marzo,Community Manager,redes,COLEGIO," $  45.000,0 ",0%,, $  -   ,, $  -   ,100%," $  45.000,0 ",, $  -   ,, $  -   ," $  45.000,0 ",12/3/2026,MP, $  -   ,Costos Centrales Pool
Marzo,Community Manager,redes,GG2," $  45.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  45.000,0 ",, $  -   ," $  45.000,0 ",12/3/2026,MP, $  -   ,Costos Centrales Pool
Marzo,Community Manager,redes,GG4," $  45.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  45.000,0 "," $  45.000,0 ",12/3/2026,MP, $  -   ,Costos Centrales Pool
Marzo,DreI - Habilitaciones - Multas,control urbano,GG4," $  194.640,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  194.640,0 "," $  194.640,0 ",12/3/2026,MP,"-$  0,0 ","Servicios, Seguros & Tasas"
Marzo,AFIP IVA,pago IVA SEPT,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  2.133.494,0 ",12/3/2026,DB.Aut.Local,"-$  2.133.494,0 ",IVA
Marzo,DreI - Habilitaciones - Multas,convenio,GG4," $  185.581,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  185.581,0 "," $  185.581,0 ",16/3/2026,MP, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Gastos en Activos ,freezer,MORENO," $  550.000,0 ",0%,100%," $  550.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  550.000,0 ",16/3/2026,EF Local, $  -   ,Gastos Varios
Marzo,Gastos en Activos ,microondas,VIA VIEJA," $  209.687,0 ",0%,, $  -   ,100%," $  209.687,0 ",, $  -   ,, $  -   ,, $  -   ," $  209.687,0 ",16/3/2026,EF Local, $  -   ,Gastos Varios
Marzo,Islas callejeras,deuda moreno,MORENO," $  456.877,0 ",0%,100%," $  456.877,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  456.877,0 ",17/3/2026,DB.Aut.Local, $  -   ,Gastos Varios
Marzo,Eventos,artistica,VIA VIEJA," $  223.750,0 ",0%,, $  -   ,100%," $  223.750,0 ",, $  -   ,, $  -   ,, $  -   ," $  223.750,0 ",17/3/2026,Transferencia, $  -   ,Eventos
Marzo,Sueldos,liquidacion final aquino,MORENO," $  205.000,0 ",0%,100%," $  205.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  205.000,0 ",17/3/2026,EF ADM, $  -   ,"Jornales, Semanales y Mensualizados por HORA"
