,,,,,,,,,,,MORENO,VIA VIEJA,COLEGIO,GG2,GG4,Total
Mes,Junio,,,,,,,,,IVA,  -   ,  -   ,  -   ,  -   ,  674.000 ,  -   
,,,,,,,,,,IIBB,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
, MORENO, VIA VIEJA, COLEGIO,Sub-Total, GG2, GG4, Total GROWLER,,,Convenios Pago,  -   ,  -   ,  -   ,  -   ,  474.000 ,  -   
CMV ,,,,,,,,,,,,,,,,
CMV,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,,,,,,,,
Gastos Directos,,,,,,,,,,CHECK," $  27.300.475,9 ",,,,,
Sueldos y Gastos Personal,,,,,,,,,,base," $  29.672.313,6 ",,,,,
Mensualizado FIJO,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,,Dif,"- 2.371.837,70 ",,,,,
"Jornales, Semanales y Mensualizados por HORA",  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,,,,,,,,
Cargas Sociales,  211.050 ,  46.900 ,  43.550 ,,  33.500 ,  98.000 ,,  433.000 ,,IVA B,  1.897.838 ,,,,,
Liquidaciones finales locales,  -   ,  532.000 ,  -   ,,  -   ,  -   ,,  532.000 ,,,,,,,,
Gastos Personal,  171.750 ,  171.750 ,  37.725 ,,  -   ,  103.050 ,,  484.275 ,,Check ,"- 474.000,00 ",,,,,
Alquileres & Expensas,  1.400.000 ,  602.107 ,  -   ,,  2.560.000 ,  2.140.000 ,,  6.702.107 ,,,,,,,,
"Servicios, Seguros & Tasas",  4.448.241 ,  1.630.601 ,  661.223 ,,  626.217 ,  2.460.017 ,,  9.826.299 ,,,,,,,,
"Limpieza, Descartables y Bazar",  -   ,  -   ,  -   ,,  234.000 ,  -   ,,  234.000 ,,,,,,,,
Mantenimiento,  -   ,  600.000 ,  -   ,,  514.400 ,  -   ,,  1.114.400 ,,,,,,,,
Artículos de librería / Impresiones,  -   ,  521.202 ,  -   ,,  -   ,  -   ,,  521.202 ,,,,,,,,
Logistica,  -   ,  -   ,  48.000 ,,  -   ,  -   ,,  48.000 ,,,,,,,,
Gastos Varios,  -   ,  -   ,  -   ,,  1.815.908 ,  294.500 ,,  2.110.408 ,,,,,,,,
Stand 3eros,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,,,,,,,,
Eventos,  1.000.000 ,  2.724.700 ,  -   ,,  -   ,  500.205 ,,  4.224.905 ,,,,,,,,
Sueldos Centrales Pool,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,,,,,,,,
Costos Centrales Pool,  357.470 ,  134.470 ,  107.470 ,,  66.970 ,  13.500 ,,  679.880 ,,,,,,,,
Gastos Centrales,  156.000 ,  117.000 ,  78.000 ,,  19.500 ,  19.500 ,,  390.000 ,,,,,,,,
