29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Cook express,"10,5%",2/01/2026,Factura A,0002-00078130,"$96.830,00","$10.167,15","$86.662,85",  60 ,3/03/2026,12/01/2026,"$96.830,00","$0,00",PAGADO,Cheque,,CMV
Nunzio,"21,0%",2/01/2026,Factura A,0005-00072304,"$121.550,00","$25.525,50","$96.024,50",  7 ,9/01/2026,9/01/2026,"$121.550,00","$0,00",PAGADO,Transferencia,,CMV
Nueve Seis Nueve,,2/01/2026,Remito,200001-00070425,"$20.099,98","$0,00","$20.099,98",  -   ,2/01/2026,2/01/2026,"$20.099,98","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Art. de Librería e imprenta,,2/01/2026,Factura C,00006-00000408,"$3.000,00","$0,00","$3.000,00",  -   ,2/01/2026,2/01/2026,"$3.000,00","$0,00",PAGADO,Efectivo Local,20 COPIAS DE PLANILLAS PARA HORARIOS ,Artículos de librería / Impresiones
Hielo Rosario,,2/01/2026,Remito,16036,"$16.000,00","$0,00","$16.000,00",  -   ,2/01/2026,2/01/2026,"$16.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Stock Mercadería Local,,2/01/2026,Ticket CF,206777,"$2.500,00","$0,00","$2.500,00",  -   ,2/01/2026,2/01/2026,"$2.500,00","$0,00",PAGADO,Efectivo Local,PIMIENTO x2,CMV
Gastos Varios - Propinas,,2/01/2026,Sin comprobante,0,"$15.000,00","$0,00","$15.000,00",  -   ,2/01/2026,2/01/2026,"$15.000,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",3/01/2026,Factura A,0002-00078188,"$204.825,00","$21.506,63","$183.318,38",  60 ,4/03/2026,12/01/2026,"$204.825,00","$0,00",PAGADO,Cheque,,CMV
Gastos Varios - Art. de Librería e imprenta,,3/01/2026,Ticket CF,33980,"$6.100,00","$0,00","$6.100,00",  -   ,3/01/2026,3/01/2026,"$6.100,00","$0,00",PAGADO,Efectivo Local,FOLIOS - LAPICERAS,Artículos de librería / Impresiones
La Distribuidora,"18,9%",3/01/2026,Factura A,7630,"$261.764,97","$49.473,58","$212.291,39",  15 ,18/01/2026,26/01/2026,"$261.764,97","$0,00",PAGADO,Posnet Proveedor,,CMV
