24/06/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Gastos Varios - Descartables y Limpieza,,2/01/2026,Ticket CF,251583,"$27.100,00","$0,00","$27.100,00",  -   ,2/01/2026,2/01/2026,"$27.100,00","$0,00",PAGADO,Efectivo Local,ARTICULOS FARMACIA,"Limpieza, Descartables y Bazar"
Gastos Varios - Stock Mercadería Local,,2/01/2026,Ticket CF,72039,"$5.300,00","$0,00","$5.300,00",  -   ,2/01/2026,2/01/2026,"$5.300,00","$0,00",PAGADO,Efectivo Local,POMELO ROSADO,CMV
Panificación Ceres,,2/01/2026,Remito,492217,"$13.200,00","$0,00","$13.200,00",  -   ,2/01/2026,2/01/2026,"$13.200,00","$0,00",PAGADO,Efectivo Local,,CMV
Gin La Salvaje,,2/01/2026,Remito,978784,"$84.000,00","$0,00","$84.000,00",  -   ,2/01/2026,2/01/2026,"$84.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Nueve Seis Nueve,,2/01/2026,Remito,70426,"$30.149,98","$0,00","$30.149,98",  -   ,2/01/2026,2/01/2026,"$30.149,98","$0,00",PAGADO,Efectivo Local,,CMV
CCU,"21,0%",2/01/2026,Factura A,1044532,"$290.102,80","$60.921,59","$229.181,21",  -   ,2/01/2026,2/01/2026,"$290.102,80","$0,00",PAGADO,Efectivo Local,,CMV
La Distribuidora,"18,9%",2/01/2026,Factura A,7582,"$142.005,47","$26.839,03","$115.166,44",  15 ,17/01/2026,26/01/2026,"$142.005,47","$0,00",PAGADO,Posnet Proveedor,"123263,75 el 26/01",CMV
Embotelladora del Atlantico (Coca Cola),"21,0%",2/01/2026,Factura A,1608128,"$109.984,21","$23.096,68","$86.887,53",  -   ,2/01/2026,2/01/2026,"$109.984,21","$0,00",PAGADO,Efectivo Local,,CMV
Over Clean,,2/01/2026,Remito,46818,"$62.422,44","$0,00","$62.422,44",  7 ,9/01/2026,9/01/2026,"$62.422,44","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Carnicerías Integradas,"12,6%",2/01/2026,Factura A,64614,"$194.100,00","$24.456,60","$169.643,40",  10 ,12/01/2026,21/01/2026,"$194.100,00","$0,00",PAGADO,Transferencia,,CMV
Cook express,"10,5%",2/01/2026,Factura A,78183,"$192.646,90","$20.227,92","$172.418,98",  60 ,3/03/2026,11/02/2026,"$192.646,90","$0,00",PAGADO,Transferencia,,CMV
