LOCAL,MES,INGRESOS,CMV,SUELDOS,COSTOS_FIJOS,MARGEN,MARGEN_%
GROWLER CAFE,ENERO,70613340,23633502,17629801,116800,29233236,41.4
GROWLER CAFE,FEBRERO,71349228,25557923,16108698,116800,29565806,41.44
GROWLER CAFE,MARZO,79252367,28947372,18131170,13393413,18780410,23.7
GROWLER CAFE,ABRIL,87306464,28033555,17992743,11560169,29719996,34.04
GROWLER CAFE,MAYO,90913672,25573755,19306289,12199214,33834413,37.22
GROWLER CAFE,JUNIO,82399055,23537691,0,16788994,42072369,51.06
GROWLER VIA VIEJA,ENERO,48885940,12952684,7589960,87600,28255695,57.8
GROWLER VIA VIEJA,FEBRERO,41492150,16179494,7611344,87600,17613711,42.45
GROWLER VIA VIEJA,MARZO,50082640,18361035,9010727,10459541,12251335,24.46
GROWLER VIA VIEJA,ABRIL,57012596,15810879,9015304,9826441,22359971,39.22
GROWLER VIA VIEJA,MAYO,49324276,17294142,8508851,10588471,12932810,26.22
GROWLER VIA VIEJA,JUNIO,47796685,14698284,0,11975911,21122489,44.19
COLEGIO,ENERO,4254230,722584,2455494,58400,1017751,23.92
COLEGIO,FEBRERO,8769355,3759046,2220125,58400,2731783,31.15
COLEGIO,MARZO,15305685,5047517,3647983,3434319,3175864,20.75
COLEGIO,ABRIL,14200711,4813331,3905792,3368737,2112849,14.88
COLEGIO,MAYO,16042594,8059911,3951229,3858491,172961,1.08
COLEGIO,JUNIO,13809955,3957146,0,3427725,6425082,46.53
GG Vol 2,ENERO,40174420,16873051,2320000,14600,20966768,52.19
GG Vol 2,FEBRERO,35904870,16506535,2320000,14600,17063734,47.52
GG Vol 2,MARZO,31922500,19173816,2600000,3991676,6157006,19.29
GG Vol 2,ABRIL,36999050,19498264,1300000,3133456,13067328,35.32
GG Vol 2,MAYO,30730200,11362215,1300000,6211958,11856026,38.58
GG Vol 2,JUNIO,32875199,12611969,0,8704069,11559161,35.16
GG Vol 4,ENERO,49644825,19080252,6564750,14600,23985222,48.31
GG Vol 4,FEBRERO,40983475,15742572,7508750,14600,17717552,43.23
GG Vol 4,MARZO,36414750,13606239,7039350,8054518,7714642,21.19
GG Vol 4,ABRIL,31402638,14163685,8073450,6873576,2291927,7.3
GG Vol 4,MAYO,29691985,10095222,7215150,6449084,5932528,19.98
GG Vol 4,JUNIO,27462395,13017241,0,10377157,4067995,14.81
